Sr.No.	Song_structure	Nt	Nc	NDI	SI	SH	SRI	
1	A         	1	1	1			1	
2	A A         	2	1	0.5	0	0	0.4330127019	
3	A B        	2	2	1	1	1	1	1
4	A A A         	3	1	0.3333333333	0	0	0.2484519975	
5	A B B        	3	2	0.6666666667	0.6666666667	0.5793801643	0.6285393611	0.9428090416
6	A B C       	3	3	1	1	1	1	1
7	A A A A         	4	1	0.25	0	0	0.1653594569	
8	A B B B        	4	2	0.5	0.5	0.4056390622	0.4330127019	0.8660254038
9	A A B B        	4	2	0.5	0.6666666667	0.5	0.4677071733	0.9354143467
10	A B C C       	4	3	0.75	0.8333333333	0.75	0.7261843774	0.9682458366
11	A B C D      	4	4	1	1	1	1	1
12	A A A A A         	5	1	0.2	0	0	0.12	
13	A B B B B        	5	2	0.4	0.4	0.3109175071	0.32	0.8
14	A A B B B        	5	2	0.4	0.6	0.4181656601	0.3577708764	0.894427191
15	A B C C C       	5	3	0.6	0.7	0.5904362833	0.5499090834	0.916515139
16	A B B C C       	5	3	0.6	0.8	0.6554587535	0.5754997828	0.9591663047
17	A B C D D      	5	4	0.8	0.9	0.8277293768	0.7838367177	0.9797958971
18	A B C D E     	5	5	1	1	1	1	1
19	A A A A A A         	6	1	0.1666666667	0	0	0.0921284664	
20	A B B B B B        	6	2	0.3333333333	0.3333333333	0.2514629986	0.2484519975	0.7453559925
21	A A B B B B        	6	2	0.3333333333	0.5333333333	0.3552453213	0.2832788619	0.8498365856
22	A A A B B B        	6	2	0.3333333333	0.6	0.3868528072	0.2939723679	0.8819171037
23	A B C C C C       	6	3	0.5	0.6	0.484196257	0.4330127019	0.8660254038
24	A B B C C C       	6	3	0.5	0.7333333333	0.5644754679	0.4639803636	0.9279607271
25	A A B B C C       	6	3	0.5	0.8	0.6131471928	0.4787135539	0.9574271078
26	A B C D D D      	6	4	0.6666666667	0.8	0.6934264036	0.6285393611	0.9428090416
27	A B C C D D      	6	4	0.6666666667	0.8666666667	0.7420981285	0.6478835439	0.9718253158
28	A B C D E E     	6	5	0.8333333333	0.9333333333	0.8710490643	0.8216777477	0.9860132972
29	A B C D E F    	6	6	1	1	1	1	1
30	A A A A A A A         	7	1	0.1428571429	0	0	0.07358267909	
31	A B B B B B B        	7	2	0.2857142857	0.2857142857	0.2107580961	0.1999583463	0.6998542122
32	A A B B B B B        	7	2	0.2857142857	0.4761904762	0.3074497499	0.2308920102	0.8081220356
33	A A A B B B B        	7	2	0.2857142857	0.5714285714	0.350945343	0.2448979592	0.8571428571
34	A B C C C C C       	7	3	0.4285714286	0.5238095238	0.4092232319	0.3517079171	0.8206518066
35	A B B C C C C       	7	3	0.4285714286	0.6666666667	0.4911325898	0.3823468162	0.8921425712
36	A B B B C C C       	7	3	0.4285714286	0.7142857143	0.5160785422	0.3920280145	0.9147320339
37	A A B B C C C       	7	3	0.4285714286	0.7619047619	0.5544923071	0.401475828	0.936776932
38	A B C D D D D      	7	4	0.5714285714	0.7142857143	0.5929060719	0.5162902302	0.9035079029
39	A B C C D D D      	7	4	0.5714285714	0.8095238095	0.6562657891	0.5414897617	0.947607083
40	A B B C C D D      	7	4	0.5714285714	0.8571428571	0.6946795539	0.5536595905	0.9689042833
41	A B C D E E E     	7	5	0.7142857143	0.8571428571	0.7580392711	0.6845106054	0.9583148475
42	A B C D D E E     	7	5	0.7142857143	0.9047619048	0.7964530359	0.6995565919	0.9793792286
43	A B C D E F F    	7	6	0.8571428571	0.9523809524	0.898226518	0.848351416	0.9897433186
44	A B C D E F G   	7	7	1	1	1	1	1
45	A A A A A A A A         	8	1	0.125	0	0	0.06051536478	
46	A B B B B B B B        	8	2	0.25	0.25	0.1811881477	0.1653594569	0.6614378278
47	A A B B B B B B        	8	2	0.25	0.4285714286	0.2704260415	0.1926379376	0.7705517504
48	A A A B B B B B        	8	2	0.25	0.5357142857	0.3181446676	0.2072890494	0.8291561976
49	A A A A B B B B        	8	2	0.25	0.5714285714	0.3333333333	0.211947812	0.8477912479
50	A B C C C C C C       	8	3	0.375	0.4642857143	0.3537593748	0.2927342812	0.7806247498
51	A B B C C C C C       	8	3	0.375	0.6071428571	0.4329316469	0.3213588094	0.8569568251
52	A B B B C C C C       	8	3	0.375	0.6785714286	0.4685463541	0.3347544576	0.8926785536
53	A A B B C C C C       	8	3	0.375	0.7142857143	0.5	0.3412551511	0.9100137362
54	A A B B B C C C       	8	3	0.375	0.75	0.5204260415	0.3476343041	0.9270248109
55	A B C D D D D D      	8	4	0.5	0.6428571429	0.5162649802	0.4330127019	0.8660254038
56	A B C C D D D D      	8	4	0.5	0.75	0.5833333333	0.4592793268	0.9185586535
57	A B C C C D D D      	8	4	0.5	0.7857142857	0.6037593748	0.4677071733	0.9354143467
58	A B B C C D D D      	8	4	0.5	0.8214285714	0.6352130207	0.4759858191	0.9519716382
59	A A B B C C D D      	8	4	0.5	0.8571428571	0.6666666667	0.4841229183	0.9682458366
60	A B C D E E E E     	8	5	0.625	0.7857142857	0.6666666667	0.5793905068	0.9270248109
61	A B C D D E E E     	8	5	0.625	0.8571428571	0.7185463541	0.6000895116	0.9601432185
62	A B C C D D E E     	8	5	0.625	0.8928571429	0.75	0.6101757559	0.9762812095
63	A B C D E F F F    	8	6	0.75	0.8928571429	0.8018796874	0.7261843774	0.9682458366
64	A B C D E E F F    	8	6	0.75	0.9285714286	0.8333333333	0.7381882382	0.9842509843
65	A B C D E F G G   	8	7	0.875	0.9642857143	0.9166666667	0.8681371489	0.9921567416
66	A B C D E F G H  	8	8	1	1	1	1	1
67	A A A A A A A A A         	9	1	0.1111111111	0	0	0.05090253859	
68	A B B B B B B B B        	9	2	0.2222222222	0.2222222222	0.1587603286	0.1396754136	0.6285393611
69	A A B B B B B B B        	9	2	0.2222222222	0.3888888889	0.2410796805	0.1637839403	0.7370277312
70	A A A B B B B B B        	9	2	0.2222222222	0.5	0.2896900821	0.1780519148	0.8012336168
71	A A A A B B B B B        	9	2	0.2222222222	0.5555555556	0.3126496871	0.1847732043	0.8314794193
72	A B C C C C C C C       	9	3	0.3333333333	0.4166666667	0.3111829864	0.2484519975	0.7453559925
73	A B B C C C C C C       	9	3	0.3333333333	0.5555555556	0.3862534429	0.274674018	0.8240220541
74	A B B B C C C C C       	9	3	0.3333333333	0.6388888889	0.4263962442	0.2892685065	0.8678055195
75	A B B B B C C C C       	9	3	0.3333333333	0.6666666667	0.4391735524	0.2939723679	0.8819171037
76	A A B B C C C C C       	9	3	0.3333333333	0.6666666667	0.452856299	0.2939723679	0.8819171037
77	A A B B B C C C C       	9	3	0.3333333333	0.7222222222	0.4828168036	0.3031612138	0.9094836413
78	A A A B B B C C C       	9	3	0.3333333333	0.75	0.5	0.3076527357	0.922958207
79	A B C D D D D D D      	9	4	0.4444444444	0.5833333333	0.4563567488	0.3695464086	0.8314794193
80	A B C C D D D D D      	9	4	0.4444444444	0.6944444444	0.522959605	0.3950617284	0.8888888889
81	A B C C C D D D D      	9	4	0.4444444444	0.75	0.5529201095	0.4072203087	0.9162456946
82	A B B C C D D D D      	9	4	0.4444444444	0.7777777778	0.5793801643	0.4131654452	0.9296222517
83	A B B C C C D D D      	9	4	0.4444444444	0.8055555556	0.5965633607	0.4190262407	0.9428090416
84	A A B B C C D D D      	9	4	0.4444444444	0.8333333333	0.6230234155	0.424806186	0.9558139186
85	A B C D E E E E E     	9	5	0.5555555556	0.7222222222	0.5930629109	0.4976702314	0.8958064165
86	A B C D D E E E E     	9	5	0.5555555556	0.8055555556	0.6494834702	0.520132702	0.9362388637
87	A B C D D D E E E     	9	5	0.5555555556	0.8333333333	0.6666666667	0.5274076386	0.9493337495
88	A B C C D D E E E     	9	5	0.5555555556	0.8611111111	0.6931267214	0.5345835826	0.9622504486
89	A B B C C D D E E     	9	5	0.5555555556	0.8888888889	0.7195867762	0.5416644684	0.974996043
90	A B C D E F F F F    	9	6	0.6666666667	0.8333333333	0.7195867762	0.6285393611	0.9428090416
91	A B C D E E F F F    	9	6	0.6666666667	0.8888888889	0.7632300274	0.6457628065	0.9686442097
92	A B C D D E E F F    	9	6	0.6666666667	0.9166666667	0.7896900821	0.6542045086	0.9813067629
93	A B C D E F G G G   	9	7	0.7777777778	0.9166666667	0.8333333333	0.7583302557	0.974996043
