Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Begin File	File Offset (s)	Song No.	Note types
1	Spectrogram 1	1	1.008288222	1.1231565	3406.3	4004.4	598.1	0.115	SHAL-KODAI-RUGG-0001.WAV	1.008	001	A_01
2	Spectrogram 1	1	1.289077347	1.508177952	3380.3	3770.3	390	0.219	SHAL-KODAI-RUGG-0001.WAV	1.289	001	A_01
3	Spectrogram 1	1	1.610283088	1.750677651	4784.4	5278.5	494	0.14	SHAL-KODAI-RUGG-0001.WAV	1.61	001	B_01
4	Spectrogram 1	1	1.786839887	2.018703634	5122.5	7592.7	2470.2	0.232	SHAL-KODAI-RUGG-0001.WAV	1.787	001	C_01
5	Spectrogram 1	1	2.099536867	2.384580373	3978.4	8450.8	4472.4	0.285	SHAL-KODAI-RUGG-0001.WAV	2.1	001	D_01
6	Spectrogram 1	1	2.452650464	2.641970404	2808.3	6136.6	3328.3	0.189	SHAL-KODAI-RUGG-0001.WAV	2.453	001	E_01
7	Spectrogram 1	1	2.74407554	3.024864666	2964.3	3536.3	572.1	0.281	SHAL-KODAI-RUGG-0001.WAV	2.744	001	F_01
8	Spectrogram 1	1	3.11207947	3.307780981	2886.3	3640.3	754.1	0.196	SHAL-KODAI-RUGG-0001.WAV	3.112	001	G_01
9	Spectrogram 1	1	3.454557115	3.643877055	2834.3	3614.3	780.1	0.189	SHAL-KODAI-RUGG-0001.WAV	3.455	001	G_01
10	Spectrogram 1	1	3.816179473	3.905521467	6292.6	8086.7	1794.2	0.089	SHAL-KODAI-RUGG-0001.WAV	3.816	001	H_01
11	Spectrogram 1	1	3.999117842	4.211836876	5538.5	6864.6	1326.1	0.213	SHAL-KODAI-RUGG-0001.WAV	3.999	001	I_01
12	Spectrogram 1	1	4.243744731	4.335213916	2808.3	7722.7	4914.4	0.091	SHAL-KODAI-RUGG-0001.WAV	4.244	001	J_01
13	Spectrogram 1	1	4.399029626	4.703217845	2314.2	5200.5	2886.3	0.304	SHAL-KODAI-RUGG-0001.WAV	4.399	001	K_01
